"sample_metag","sample_metat","sample_metag_nreads","sample_internal","Layer","polar","Latitude","Longitude","Temperature","Oxygen","sample_id"
"TARA_SAMEA2622817_METAG","TARA_SAMEA2622817_METAT",321083957,"TARA_B100001121","SRF","non polar",-8.9111,-142.5571,26.80604,187.3321,"Sample_61"
"TARA_SAMEA2622923_METAG","TARA_SAMEA2622927_METAT",289891203,"TARA_B100000614","DCM","non polar",0.0222,-153.6858,26.139288,177.673063,"Sample_62"
"TARA_SAMEA2622901_METAG","TARA_SAMEA2622905_METAT",277071586,"TARA_B100000609","SRF","non polar",3e-04,-153.6759,26.218438,180.67375,"Sample_63"
"TARA_SAMEA2623079_METAG","TARA_SAMEA2623083_METAT",487420090,"TARA_B100001250","DCM","non polar",31.5168,-159.046,15.321075,222.94125,"Sample_64"
"TARA_SAMEA2623098_METAG","TARA_SAMEA2623101_METAT",388864305,"TARA_B100001245","MES","non polar",31.528,-159.0224,6.634392,131.979417,"Sample_65"
"TARA_SAMEA2623059_METAG","TARA_SAMEA2623063_METAT",322479625,"TARA_B100001248","SRF","non polar",31.5213,-158.9958,25.164595,197.7245,"Sample_66"
"TARA_SAMEA2623135_METAG","TARA_SAMEA2623139_METAT",344505194,"TARA_B100001094","DCM","non polar",35.4002,-127.7499,13.874505,236.1591,"Sample_67"
"TARA_SAMEA2623116_METAG","TARA_SAMEA2623119_METAT",510067482,"TARA_B100001093","SRF","non polar",35.3671,-127.7422,19.24802,223.159,"Sample_68"
"TARA_SAMEA2623295_METAG","TARA_SAMEA2623295_METAT",375615814,"TARA_B100001964","DCM","non polar",14.2075,-116.6468,20.58574,123.201,"Sample_69"
"TARA_SAMEA2623314_METAG","TARA_SAMEA2623314_METAT",391657495,"TARA_B100001971","MES","non polar",14.2025,-116.6433,8.887131,0.832313,"Sample_70"
"TARA_SAMEA2623275_METAG","TARA_SAMEA2623275_METAT",356596651,"TARA_B100001287","SRF","non polar",14.2035,-116.6261,26.478605,195.77195,"Sample_71"
"TARA_SAMEA2623370_METAG","TARA_SAMEA2623370_METAT",374249734,"TARA_B100001996","DCM","non polar",6.3378,-102.9538,17.291965,41.52515,"Sample_72"
"TARA_SAMEA2623390_METAG","TARA_SAMEA2623390_METAT",336340304,"TARA_B100002003","MES","non polar",6.3559,-103.0598,8.149894,1.013313,"Sample_73"
"TARA_SAMEA2623350_METAG","TARA_SAMEA2623350_METAT",331514413,"TARA_B100001989","SRF","non polar",6.3332,-102.9432,26.605515,196.2029,"Sample_74"
"TARA_SAMEA2623426_METAG","TARA_SAMEA2623430_METAT",357408092,"TARA_B100002019","SRF","non polar",7.4122,-79.3017,26.555663,205.411,"Sample_75"
"TARA_SAMEA2623446_METAG","TARA_SAMEA2623450_METAT",331407634,"TARA_B100001939","SRF","non polar",9.8481,-80.0454,27.1673,195.502875,"Sample_76"
